prefix,vendor,source,confidence,alt_sources,alt_vendors
000000,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",00:00:00 | Xerox
000001,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",Xerox | Xerox
000002,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",Xerox | Xerox
000003,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",Xerox | Xerox
000004,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",Xerox | Xerox
000005,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",Xerox | Xerox
000006,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",Xerox | Xerox
000007,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",Xerox | Xerox
000008,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",Xerox | Xerox
000009,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",Xerox | Xerox
00000A,OMRON TATEISI ELECTRONICS CO.,ieee,1.0,"wireshark,nmap",OmronTateisi | Omron Tateisi Electronics
00000B,MATRIX CORPORATION,ieee,1.0,"wireshark,nmap",Matrix | Matrix
00000C,"Cisco Systems, Inc",ieee,1.0,"wireshark,nmap",Cisco | Cisco Systems
00000D,FIBRONICS LTD.,ieee,1.0,"wireshark,nmap",Fibronics | Fibronics
00000E,FUJITSU LIMITED,ieee,1.0,"wireshark,nmap",Fujitsu | Fujitsu Limited
00000F,"NEXT, INC.",ieee,1.0,"wireshark,nmap",Next | Next
000010,SYTEK INC.,ieee,1.0,"wireshark,nmap",Sytek | Sytek
000011,NORMEREL SYSTEMES,ieee,1.0,"wireshark,nmap",NormerelSyst | Normerel Systemes
000012,INFORMATION TECHNOLOGY LIMITED,ieee,1.0,"wireshark,nmap",InformationT | Information Technology Limited
000013,CAMEX,ieee,1.0,"wireshark,nmap",Camex | Camex
000014,NETRONIX,ieee,1.0,"wireshark,nmap",Netronix | Netronix
000015,DATAPOINT CORPORATION,ieee,1.0,"wireshark,nmap",Datapoint | Datapoint
000016,DU PONT PIXEL SYSTEMS     .,ieee,1.0,"wireshark,nmap",DuPontPixel | DU Pont Pixel Systems
000017,Oracle,ieee,1.0,"wireshark,nmap",Oracle | Oracle
000018,WEBSTER COMPUTER CORPORATION,ieee,1.0,"wireshark,nmap",WebsterCompu | Webster Computer
000019,APPLIED DYNAMICS INTERNATIONAL,ieee,1.0,"wireshark,nmap",AppliedDynam | Applied Dynamics International
00001A,ADVANCED MICRO DEVICES,ieee,1.0,"wireshark,nmap",AMD | Advanced Micro Devices
00001B,"Novell, Inc.",ieee,1.0,"wireshark,nmap",Novell | Novell
00001C,BELL TECHNOLOGIES,ieee,1.0,"wireshark,nmap",BellTechnolo | Bell Technologies
00001D,"Cabletron Systems, Inc.",ieee,1.0,"wireshark,nmap",Cabletron | Cabletron Systems
00001E,TELSIST INDUSTRIA ELECTRONICA,ieee,1.0,"wireshark,nmap",TelsistIndus | Telsist Industria Electronica
00001F,"Telco Systems, Inc.",ieee,1.0,"wireshark,nmap",Telco | Telco Systems
000020,DATAINDUSTRIER DIAB AB,ieee,1.0,"wireshark,nmap",Dataindustri | Dataindustrier Diab AB
000021,SUREMAN COMP. & COMMUN. CORP.,ieee,1.0,"wireshark,nmap",SuremanCompC | Sureman Comp. & Commun.
000022,VISUAL TECHNOLOGY INC.,ieee,1.0,"wireshark,nmap",VisualTechno | Visual Technology
000023,ABB INDUSTRIAL SYSTEMS AB,ieee,1.0,"wireshark,nmap",AbbIndustria | ABB Industrial Systems AB
000024,CONNECT AS,ieee,1.0,"wireshark,nmap",ConnectAs | Connect AS
000025,RAMTEK CORP.,ieee,1.0,"wireshark,nmap",Ramtek | Ramtek
000026,"SHA-KEN CO., LTD.",ieee,1.0,"wireshark,nmap",ShaKen | SHA-KEN
000027,JAPAN RADIO COMPANY,ieee,1.0,"wireshark,nmap",JapanRadio | Japan Radio Company
000028,PRODIGY SYSTEMS CORPORATION,ieee,1.0,"wireshark,nmap",Prodigy | Prodigy Systems
000029,IMC NETWORKS CORP.,ieee,1.0,"wireshark,nmap",ImcNetworks | IMC Networks
00002A,TRW - SEDD/INP,ieee,1.0,"wireshark,nmap",TrwSeddInp | TRW - Sedd/INP
00002B,"CRISP AUTOMATION, INC",ieee,1.0,"wireshark,nmap",CrispAutomat | Crisp Automation
00002C,AUTOTOTE LIMITED,ieee,1.0,"wireshark,nmap",Autotote | Autotote Limited
00002D,CHROMATICS INC,ieee,1.0,"wireshark,nmap",Chromatics | Chromatics
00002E,SOCIETE EVIRA,ieee,1.0,"wireshark,nmap",SocieteEvira | Societe Evira
00002F,TIMEPLEX INC.,ieee,1.0,"wireshark,nmap",Timeplex | Timeplex
000030,VG LABORATORY SYSTEMS LTD,ieee,1.0,"wireshark,nmap",VgLaboratory | VG Laboratory Systems
000031,"QPSX COMMUNICATIONS, LTD.",ieee,1.0,"wireshark,nmap",QpsxCommunic | Qpsx Communications
000032,Marconi plc,ieee,1.0,"wireshark,nmap",Marconi | Marconi plc
000033,EGAN MACHINERY COMPANY,ieee,1.0,"wireshark,nmap",EganMachiner | Egan Machinery Company
000034,NETWORK RESOURCES CORPORATION,ieee,1.0,"wireshark,nmap",NetworkResou | Network Resources
000035,SPECTRAGRAPHICS CORPORATION,ieee,1.0,"wireshark,nmap",Spectragraph | Spectragraphics
000036,ATARI CORPORATION,ieee,1.0,"wireshark,nmap",Atari | Atari
000037,OXFORD METRICS LIMITED,ieee,1.0,"wireshark,nmap",OxfordMetric | Oxford Metrics Limited
000038,CSS LABS,ieee,1.0,"wireshark,nmap",CssLabs | CSS Labs
000039,TOSHIBA CORPORATION,ieee,1.0,"wireshark,nmap",Toshiba | Toshiba
00003A,CHYRON CORPORATION,ieee,1.0,"wireshark,nmap",Chyron | Chyron
00003B,"i Controls, Inc.",ieee,1.0,"wireshark,nmap",iControls | i Controls
00003C,AUSPEX SYSTEMS INC.,ieee,1.0,"wireshark,nmap",Auspex | Auspex Systems
00003D,UNISYS,ieee,1.0,"wireshark,nmap",Unisys | Unisys
00003E,SIMPACT,ieee,1.0,"wireshark,nmap",Simpact | Simpact
00003F,"SYNTREX, INC.",ieee,1.0,"wireshark,nmap",Syntrex | Syntrex
000040,"APPLICON, INC.",ieee,1.0,"wireshark,nmap",Applicon | Applicon
000041,ICE CORPORATION,ieee,1.0,"wireshark,nmap",Ice | ICE
000042,METIER MANAGEMENT SYSTEMS LTD.,ieee,1.0,"wireshark,nmap",MetierManage | Metier Management Systems
000043,MICRO TECHNOLOGY,ieee,1.0,"wireshark,nmap",MicroTechnol | Micro Technology
000044,CASTELLE CORPORATION,ieee,1.0,"wireshark,nmap",Castelle | Castelle
000045,FORD AEROSPACE & COMM. CORP.,ieee,1.0,"wireshark,nmap",FordAerospac | Ford Aerospace & Comm.
000046,OLIVETTI NORTH AMERICA,ieee,1.0,"wireshark,nmap",OlivettiNort | Olivetti North America
000047,NICOLET INSTRUMENTS CORP.,ieee,1.0,"wireshark,nmap",NicoletInstr | Nicolet Instruments
000048,Seiko Epson Corporation,ieee,1.0,"wireshark,nmap",SeikoEpson | Seiko Epson
000049,"APRICOT COMPUTERS, LTD",ieee,1.0,"wireshark,nmap",ApricotCompu | Apricot Computers
00004A,ADC CODENOLL TECHNOLOGY CORP.,ieee,1.0,"wireshark,nmap",AdcCodenollT | ADC Codenoll Technology
00004B,ICL DATA OY,ieee,1.0,"wireshark,nmap",IclData | ICL Data OY
00004C,NEC Corporation,ieee,1.0,"wireshark,nmap",NEC | NEC
00004D,DCI CORPORATION,ieee,1.0,"wireshark,nmap",Dci | DCI
00004E,AMPEX CORPORATION,ieee,1.0,"wireshark,nmap",Ampex | Ampex
00004F,"LOGICRAFT, INC.",ieee,1.0,"wireshark,nmap",Logicraft | Logicraft
000050,RADISYS CORPORATION,ieee,1.0,"wireshark,nmap",Radisys | Radisys
000051,HOB ELECTRONIC GMBH & CO. KG,ieee,1.0,"wireshark,nmap",HobElectroni | HOB Electronic Gmbh & KG
000052,"Intrusion.com, Inc.",ieee,1.0,"wireshark,nmap",Intrusioncom | Intrusion.com
000053,COMPUCORP,ieee,1.0,"wireshark,nmap",Compucorp | Compucorp
000054,Schneider Electric,ieee,1.0,"wireshark,nmap",SchneiderEle | Schneider Electric
000055,COMMISSARIAT A L`ENERGIE ATOM.,ieee,1.0,"wireshark,nmap",Commissariat | Commissariat A L`Energie Atom.
000056,DR. B. STRUCK,ieee,1.0,"wireshark,nmap",DrBStruck | DR. B. Struck
000057,SCITEX CORPORATION LTD.,ieee,1.0,"wireshark,nmap",Scitex | Scitex
000058,RACORE COMPUTER PRODUCTS INC.,ieee,1.0,"wireshark,nmap",RacoreComput | Racore Computer Products
000059,Hellige GMBH,ieee,1.0,"wireshark,nmap",Hellige | Hellige Gmbh
00005A,SysKonnect GmbH,ieee,1.0,"wireshark,nmap",SysKonnect | SysKonnect GmbH
00005B,ELTEC ELEKTRONIK AG,ieee,1.0,"wireshark,nmap",EltecElektro | Eltec Elektronik AG
00005C,TELEMATICS INTERNATIONAL INC.,ieee,1.0,"wireshark,nmap",TelematicsIn | Telematics International
00005D,CS TELECOM,ieee,1.0,"wireshark,nmap",CsTelecom | CS Telecom
00005E,"ICANN, IANA Department",ieee,1.0,"wireshark,nmap","ICANNIANADep | Icann, Iana Department"
00005F,"Sumitomo Electric Industries, Ltd",ieee,1.0,"wireshark,nmap",SumitomoElec | Sumitomo Electric Industries
000060,Kontron Europe GmbH,ieee,1.0,"wireshark,nmap",KontronEurop | Kontron Europe GmbH
000061,GATEWAY COMMUNICATIONS,ieee,1.0,"wireshark,nmap",GatewayCommu | Gateway Communications
000062,BULL HN INFORMATION SYSTEMS,ieee,1.0,"wireshark,nmap",BullHnInform | Bull HN Information Systems
000063,BARCO CONTROL ROOMS GMBH,ieee,1.0,"wireshark,nmap",BarcoControl | Barco Control Rooms Gmbh
000064,Yokogawa Digital Computer Corporation,ieee,1.0,"wireshark,nmap",YokogawaDigi | Yokogawa Digital Computer
000065,Network General Corporation,ieee,1.0,"wireshark,nmap",NetworkGener | Network General
000066,"TALARIS SYSTEMS, INC.",ieee,1.0,"wireshark,nmap",Talaris | Talaris Systems
000067,"SOFT * RITE, INC.",ieee,1.0,"wireshark,nmap",Soft*Rite | Soft * Rite
000068,ROSEMOUNT CONTROLS,ieee,1.0,"wireshark,nmap",RosemountCon | Rosemount Controls
000069,CONCORD COMMUNICATIONS INC,ieee,1.0,"wireshark,nmap",ConcordCommu | Concord Communications
00006A,COMPUTER CONSOLES INC.,ieee,1.0,"wireshark,nmap",ComputerCons | Computer Consoles
00006B,Silicon Graphics,ieee,1.0,"wireshark,nmap",SiliconGraph | Silicon Graphics
00006C,Schneider Electric,ieee,1.0,"wireshark,nmap",SchneiderEle | Schneider Electric
00006D,"CRAY COMMUNICATIONS, LTD.",ieee,1.0,"wireshark,nmap",CrayCommunic | Cray Communications
00006E,Artisoft Inc.,ieee,1.0,"wireshark,nmap",Artisoft | Artisoft
00006F,Madge Ltd.,ieee,1.0,"wireshark,nmap",Madge | Madge
000070,HCL LIMITED,ieee,1.0,"wireshark,nmap",Hcl | HCL Limited
000071,ADRA SYSTEMS INC.,ieee,1.0,"wireshark,nmap",Adra | Adra Systems
000072,MINIWARE TECHNOLOGY,ieee,1.0,"wireshark,nmap",MiniwareTech | Miniware Technology
000073,SIECOR CORPORATION,ieee,1.0,"wireshark,nmap",Siecor | Siecor
000074,RICOH COMPANY LTD.,ieee,1.0,"wireshark,nmap",Ricoh | Ricoh Company
000075,Nortel Networks,ieee,1.0,"wireshark,nmap",NortelNetwor | Nortel Networks
000076,ABEKAS VIDEO SYSTEM,ieee,1.0,"wireshark,nmap",AbekasVideoS | Abekas Video System
000077,INTERPHASE CORPORATION,ieee,1.0,"wireshark,nmap",Interphase | Interphase
000078,LABTAM LIMITED,ieee,1.0,"wireshark,nmap",Labtam | Labtam Limited
000079,NETWORTH INCORPORATED,ieee,1.0,"wireshark,nmap",Networth | Networth Incorporated
00007A,DANA COMPUTER INC.,ieee,1.0,"wireshark,nmap",DanaComputer | Dana Computer
00007B,RESEARCH MACHINES,ieee,1.0,"wireshark,nmap",ResearchMach | Research Machines
00007C,AMPERE INCORPORATED,ieee,1.0,"wireshark,nmap",Ampere | Ampere Incorporated
00007D,Oracle Corporation,ieee,1.0,"wireshark,nmap",Oracle | Oracle
00007E,CLUSTRIX CORPORATION,ieee,1.0,"wireshark,nmap",Clustrix | Clustrix
00007F,LINOTYPE-HELL AG,ieee,1.0,"wireshark,nmap",LinotypeHell | Linotype-hell AG
000080,CRAY COMMUNICATIONS A/S,ieee,1.0,"wireshark,nmap",CrayCommunic | Cray Communications A/S
000081,Bay Networks,ieee,1.0,"wireshark,nmap",BayNetworks | Bay Networks
000082,LECTRA SYSTEMES SA,ieee,1.0,"wireshark,nmap",LectraSystem | Lectra Systemes SA
000083,TADPOLE TECHNOLOGY PLC,ieee,1.0,"wireshark,nmap",TadpoleTechn | Tadpole Technology PLC
000084,SUPERNET,ieee,1.0,"wireshark,nmap",Supernet | Supernet
000085,CANON INC.,ieee,1.0,"wireshark,nmap",Canon | Canon
000086,MEGAHERTZ CORPORATION,ieee,1.0,"wireshark,nmap",Megahertz | Megahertz
000087,"HITACHI, LTD.",ieee,1.0,"wireshark,nmap",Hitachi | Hitachi
000088,Brocade Communications Systems LLC,ieee,1.0,"wireshark,nmap",BrocadeCommu | Brocade Communications Systems
000089,CAYMAN SYSTEMS INC.,ieee,1.0,"wireshark,nmap",Cayman | Cayman Systems
00008A,DATAHOUSE INFORMATION SYSTEMS,ieee,1.0,"wireshark,nmap",DatahouseInf | Datahouse Information Systems
00008B,INFOTRON,ieee,1.0,"wireshark,nmap",Infotron | Infotron
00008C,Alloy Computer Products (Australia) Pty Ltd,ieee,1.0,"wireshark,nmap",AlloyCompute | Alloy Computer Products (Australia)
00008D,Cryptek Inc.,ieee,1.0,"wireshark,nmap",Cryptek | Cryptek
00008E,"SOLBOURNE COMPUTER, INC.",ieee,1.0,"wireshark,nmap",SolbourneCom | Solbourne Computer
00008F,Raytheon,ieee,1.0,"wireshark,nmap",Raytheon | Raytheon
000090,MICROCOM,ieee,1.0,"wireshark,nmap",Microcom | Microcom
000091,ANRITSU CORPORATION,ieee,1.0,"wireshark,nmap",Anritsu | Anritsu
000092,COGENT DATA TECHNOLOGIES,ieee,1.0,"wireshark,nmap",CogentDataTe | Cogent Data Technologies
000093,PROTEON INC.,ieee,1.0,"wireshark,nmap",Proteon | Proteon
000094,ASANTE TECHNOLOGIES,ieee,1.0,"wireshark,nmap",AsanteTechno | Asante Technologies
000095,SONY TEKTRONIX CORP.,ieee,1.0,"wireshark,nmap",SonyTektroni | Sony Tektronix
000096,MARCONI ELECTRONICS LTD.,ieee,1.0,"wireshark,nmap",MarconiElect | Marconi Electronics
000097,Dell EMC,ieee,1.0,"wireshark,nmap",DellEMC | Dell EMC
000098,CROSSCOMM CORPORATION,ieee,1.0,"wireshark,nmap",Crosscomm | Crosscomm
000099,"MTX, INC.",ieee,1.0,"wireshark,nmap",Mtx | MTX
00009A,RC COMPUTER A/S,ieee,1.0,"wireshark,nmap",RcComputer | RC Computer A/S
00009B,"INFORMATION INTERNATIONAL, INC",ieee,1.0,"wireshark,nmap",InformationI | Information International
00009C,ROLM MIL-SPEC COMPUTERS,ieee,1.0,"wireshark,nmap",RolmMilSpecC | Rolm MIL-Spec Computers
00009D,LOCUS COMPUTING CORPORATION,ieee,1.0,"wireshark,nmap",LocusComputi | Locus Computing
00009E,MARLI S.A.,ieee,1.0,"wireshark,nmap",Marli | Marli
00009F,AMERISTAR TECHNOLOGIES INC.,ieee,1.0,"wireshark,nmap",AmeristarTec | Ameristar Technologies
0000A0,"SANYO Electric Co., Ltd.",ieee,1.0,"wireshark,nmap",SANYOElectri | Sanyo Electric
0000A1,MARQUETTE ELECTRIC CO.,ieee,1.0,"wireshark,nmap",MarquetteEle | Marquette Electric
0000A2,Bay Networks,ieee,1.0,"wireshark,nmap",BayNetworks | Bay Networks
0000A3,NETWORK APPLICATION TECHNOLOGY,ieee,1.0,"wireshark,nmap",NetworkAppli | Network Application Technology
0000A4,ACORN COMPUTERS LIMITED,ieee,1.0,"wireshark,nmap",AcornCompute | Acorn Computers Limited
0000A5,Tattile SRL,ieee,1.0,"wireshark,nmap",Tattile | Tattile SRL
0000A6,NETWORK GENERAL CORPORATION,ieee,1.0,"wireshark,nmap",NetworkGener | Network General
0000A7,NETWORK COMPUTING DEVICES INC.,ieee,1.0,"wireshark,nmap",NetworkCompu | Network Computing Devices
0000A8,Stratus Technologies,ieee,1.0,"wireshark,nmap",StratusTechn | Stratus Technologies
0000A9,NETWORK SYSTEMS CORP.,ieee,1.0,"wireshark,nmap",Network | Network Systems
0000AA,XEROX CORPORATION,ieee,1.0,"wireshark,nmap",Xerox | Xerox
0000AB,LOGIC MODELING CORPORATION,ieee,1.0,"wireshark,nmap",LogicModelin | Logic Modeling
0000AC,CONWARE COMPUTER CONSULTING,ieee,1.0,"wireshark,nmap",ConwareCompu | Conware Computer Consulting
0000AD,BRUKER INSTRUMENTS INC.,ieee,1.0,"wireshark,nmap",BrukerInstru | Bruker Instruments
0000AE,DASSAULT ELECTRONIQUE,ieee,1.0,"wireshark,nmap",DassaultElec | Dassault Electronique
0000AF,"Canberra Industries, Inc.",ieee,1.0,"wireshark,nmap",CanberraIndu | Canberra Industries
0000B0,RND-RAD NETWORK DEVICES,ieee,1.0,"wireshark,nmap",RndRadNetwor | RND-RAD Network Devices
0000B1,Alpha Micro,ieee,1.0,"wireshark,nmap",AlphaMicro | Alpha Micro
0000B2,"TELEVIDEO SYSTEMS, INC.",ieee,1.0,"wireshark,nmap",Televideo | Televideo Systems
0000B3,CIMLINC INCORPORATED,ieee,1.0,"wireshark,nmap",Cimlinc | Cimlinc Incorporated
0000B4,Edimax Technology Co. Ltd.,ieee,1.0,"wireshark,nmap",EdimaxTechno | Edimax Technology
0000B5,DATABILITY SOFTWARE SYS. INC.,ieee,1.0,"wireshark,nmap",DatabilitySo | Datability Software SYS.
0000B6,MICRO-MATIC RESEARCH,ieee,1.0,"wireshark,nmap",MicroMaticRe | Micro-matic Research
0000B7,DOVE COMPUTER CORPORATION,ieee,1.0,"wireshark,nmap",DoveComputer | Dove Computer
0000B8,"SEIKOSHA CO., LTD.",ieee,1.0,"wireshark,nmap",Seikosha | Seikosha
0000B9,MCDONNELL DOUGLAS COMPUTER SYS,ieee,1.0,"wireshark,nmap",McdonnellDou | Mcdonnell Douglas Computer SYS
0000BA,"SIIG, INC.",ieee,1.0,"wireshark,nmap",Siig | Siig
0000BB,TRI-DATA,ieee,1.0,"wireshark,nmap",TriData | TRI-Data
0000BC,Rockwell Automation,ieee,1.0,"wireshark,nmap",RockwellAuto | Rockwell Automation
0000BD,"RYOSEI, Ltd.",ieee,1.0,"wireshark,nmap",RYOSEI | Ryosei
0000BE,THE NTI GROUP,ieee,1.0,"wireshark,nmap",NtiGroup | THE NTI Group
0000BF,SYMMETRIC COMPUTER SYSTEMS,ieee,1.0,"wireshark,nmap",SymmetricCom | Symmetric Computer Systems
0000C0,WESTERN DIGITAL CORPORATION,ieee,1.0,"wireshark,nmap",WesternDigit | Western Digital
0000C1,Madge Ltd.,ieee,1.0,"wireshark,nmap",Madge | Madge
0000C2,INFORMATION PRESENTATION TECH.,ieee,1.0,"wireshark,nmap",InformationP | Information Presentation Tech.
0000C3,Harris Corporation,ieee,1.0,"wireshark,nmap",Harris | Harris
0000C4,WATERS DIV. OF MILLIPORE,ieee,1.0,"wireshark,nmap",WatersDivMil | Waters DIV. OF Millipore
0000C5,Commscope,ieee,1.0,"wireshark,nmap",Commscope | Commscope
0000C6,EON SYSTEMS,ieee,1.0,"wireshark,nmap",Eon | EON Systems
0000C7,ARIX CORPORATION,ieee,1.0,"wireshark,nmap",Arix | Arix
0000C8,ALTOS COMPUTER SYSTEMS,ieee,1.0,"wireshark,nmap",AltosCompute | Altos Computer Systems
0000C9,Emulex Corporation,ieee,1.0,"wireshark,nmap",Emulex | Emulex
0000CA,Commscope,ieee,1.0,"wireshark,nmap",Commscope | Commscope
0000CB,COMPU-SHACK ELECTRONIC GMBH,ieee,1.0,"wireshark,nmap",CompuShackEl | Compu-shack Electronic Gmbh
0000CC,"DENSAN CO., LTD.",ieee,1.0,"wireshark,nmap",Densan | Densan
